latitude,longitude,name,Temperature,Vegetation encroachment,Land Subsidence,Potential Fouling,Corrosion
16.2018478,77.28195398,Loc-1,,,,,low-moderate
16.20225723,77.27955486,Loc-2,,,,,low-moderate
16.20417844,77.27821501,Loc-3,,,,,low-moderate
16.20739083,77.27759867,Loc-4,,,,,low-moderate
16.21065987,77.27699207,Loc-5,,,,,low-moderate
16.21390636,77.27637149,Loc-6,,,,,low-moderate
16.21716228,77.27574415,Loc-7,,,,moderate-high,low-moderate
16.22046692,77.27513496,Loc-8,,,,moderate-high,low-moderate
16.22370743,77.27454002,Loc-9,,,,moderate-high,low-moderate
16.22697548,77.27394995,Loc-10,,,,moderate-high,low-moderate
16.23004868,77.27335718,Loc-11,,,,moderate-high,low-moderate
16.23310689,77.2727614,Loc-12,,,,moderate-high,low-moderate
16.23653117,77.27215921,Loc-13,,,,moderate-high,low-moderate
16.2398563,77.27153826,Loc-14,,,,moderate-high,low-moderate
16.24173199,77.27232926,Loc-15,,,,moderate-high,low-moderate
16.24513299,77.27123529,Loc-16,,,,moderate-high,low-moderate
16.2484709,77.27017425,Loc-17,,,,moderate-high,low-moderate
16.25188072,77.26904628,Loc-18,,,,moderate-high,low-moderate
16.25523703,77.26796155,Loc-19,,,,moderate-high,low-moderate
16.25869275,77.26683373,Loc-20,,,,moderate-high,low-moderate
16.26200094,77.26576435,Loc-21,,,,moderate-high,low-moderate
16.26534947,77.26472431,Loc-22,,,,moderate-high,low-moderate
16.2670683,77.26266862,Loc-23,,,,moderate-high,low-moderate
16.26969011,77.26011491,Loc-24,,,,moderate-high,low-moderate
16.2723583,77.25756244,Loc-25,,,,moderate-high,low-moderate
16.27497219,77.25512148,Loc-26,,,,moderate-high,low-moderate
16.27743374,77.25281892,Loc-27,,,,moderate-high,low-moderate
16.28015231,77.25021379,Loc-28,,,,moderate-high,low-moderate
16.28282071,77.2476367,Loc-29,,,,moderate-high,low-moderate
16.28548156,77.24507598,Loc-30,,,,moderate-high,low-moderate
16.28688028,77.24325746,Loc-31,,,,moderate-high,low-moderate
16.28970397,77.24093225,Loc-32,,,,moderate-high,low-moderate
16.29240211,77.23859929,Loc-33,,,,moderate-high,low-moderate
16.29517042,77.23627013,Loc-34,,,,moderate-high,low-moderate
16.29792163,77.23394541,Loc-35,,,,moderate-high,low-moderate
16.3006534,77.23156413,Loc-36,,,,moderate-high,low-moderate
16.30332677,77.22925198,Loc-37,,,,moderate-high,low-moderate
16.30608457,77.22698601,Loc-38,,,,moderate-high,low-moderate
16.30888386,77.22461148,Loc-39,,,,moderate-high,low-moderate
16.31070725,77.22335552,Loc-40,,,,moderate-high,low-moderate
16.31239519,77.2221776,Loc-41,,,,moderate-high,low-moderate
16.31479599,77.21956675,Loc-42,>=40 +-(4-5 deg) ,,,moderate-high,low-moderate
16.31723121,77.21695079,Loc-43,>=40 +-(4-5 deg) ,,,moderate-high,low-moderate
16.31960175,77.21429511,Loc-44,>=40 +-(4-5 deg) ,,,moderate-high,low-moderate
16.32201148,77.21164103,Loc-45,,,,moderate-high,low-moderate
16.32431077,77.20909214,Loc-46,,,,moderate-high,low-moderate
16.32667777,77.20648689,Loc-47,,,,moderate-high,low-moderate
16.32909638,77.20384109,Loc-48,,,,moderate-high,low-moderate
16.33146492,77.20121293,Loc-49,,,,moderate-high,low-moderate
16.33386515,77.19857907,Loc-50,,,,moderate-high,low-moderate
16.33626606,77.19591995,Loc-51,,,,moderate-high,low-moderate
16.33863728,77.19332372,Loc-52,,,,moderate-high,low-moderate
16.3410103,77.19071831,Loc-53,,,,moderate-high,
16.34335189,77.18811768,Loc-54,,,,moderate-high,
16.34575443,77.18545453,Loc-55,,,,moderate-high,
16.34819891,77.18277535,Loc-56,,,,moderate-high,
16.35060597,77.18015901,Loc-57,,,,moderate-high,
16.35298179,77.17731169,Loc-58,,,,moderate-high,
16.35537875,77.17465006,Loc-59,,,,moderate-high,
16.35782143,77.17214236,Loc-60,,,,moderate-high,
16.36020869,77.16958377,Loc-61,,,,moderate-high,
16.36259393,77.16691679,Loc-62,,,,moderate-high,
16.36515104,77.16408194,Loc-63,,,,moderate-high,
16.36744395,77.161567,Loc-64,,,,moderate-high,
16.36986931,77.15889091,Loc-65,,,,moderate-high,
16.37222852,77.15628548,Loc-66,,,,moderate-high,
16.37466081,77.1536078,Loc-67,,,,moderate-high,
16.37711203,77.15088203,Loc-68,>=40 +-(4-5 deg) ,,,moderate-high,
16.37950112,77.148189,Loc-69,,,,moderate-high,
16.38192522,77.1455659,Loc-70,,,,moderate-high,
16.38438978,77.14282946,Loc-71,,,,moderate-high,
16.38696038,77.13999212,Loc-72,,,,moderate-high,
16.38913494,77.13760202,Loc-73,,,,moderate-high,
16.39144966,77.13503936,Loc-74,,,,moderate-high,
16.39392289,77.13233106,Loc-75,>=40 +-(4-5 deg) ,,,moderate-high,
16.39672659,77.13252394,Loc-76,>=40 +-(4-5 deg) ,,,moderate-high,
16.3995563,77.1302286,Loc-77,,,,moderate-high,
16.4023916,77.12794281,Loc-78,,,,moderate-high,
16.40530077,77.12566785,Loc-79,>=40 +-(4-5 deg) ,,,moderate-high,
16.4081963,77.12338254,Loc-80,>=40 +-(4-5 deg) ,,,moderate-high,
16.41105898,77.12108585,Loc-81,>=40 +-(4-5 deg) ,,,moderate-high,
16.41391945,77.11882965,Loc-82,>=40 +-(4-5 deg) ,,,moderate-high,
16.41677611,77.11656189,Loc-83,>=40 +-(4-5 deg) ,,low,moderate-high,
16.41957195,77.11434165,Loc-84,,,low,moderate-high,
16.42216111,77.11233018,Loc-85,,,low,moderate-high,
16.4248403,77.11013656,Loc-86,,,low,moderate-high,
16.42768113,77.10788889,Loc-87,>=40 +-(4-5 deg) ,,low,moderate-high,
16.43046175,77.10565827,Loc-88,,,low,moderate-high,
16.43327779,77.10342119,Loc-89,,,,moderate-high,
16.43625122,77.10105868,Loc-90,>=40 +-(4-5 deg) ,,,moderate-high,
16.43893337,77.0989257,Loc-91,>=40 +-(4-5 deg) ,,,moderate-high,
16.44174354,77.09667429,Loc-92,,low,,moderate-high,
16.44457833,77.09444371,Loc-93,>=40 +-(4-5 deg) ,,,moderate-high,
16.44745454,77.09216733,Loc-94,>=40 +-(4-5 deg) ,,,moderate-high,
16.45033224,77.08971089,Loc-95,>=40 +-(4-5 deg) ,,,moderate-high,
16.45315754,77.08753654,Loc-96,>=40 +-(4-5 deg) ,,,moderate-high,
16.45606239,77.08524856,Loc-97,>=40 +-(4-5 deg) ,,,moderate-high,
16.45893834,77.08299041,Loc-98,>=40 +-(4-5 deg) ,,,moderate-high,
16.46183094,77.08068371,Loc-99,>=40 +-(4-5 deg) ,,,moderate-high,
16.46462528,77.07846375,Loc-100,>=40 +-(4-5 deg) ,,,moderate-high,
16.4674745,77.0761934,Loc-101,>=40 +-(4-5 deg) ,,,moderate-high,
16.47029145,77.07397579,Loc-102,>=40 +-(4-5 deg) ,,,moderate-high,
16.47311472,77.07169293,Loc-103,>=40 +-(4-5 deg) ,,,moderate-high,
16.4758924,77.069452,Loc-104,>=40 +-(4-5 deg) ,,,moderate-high,
16.47875272,77.06718983,Loc-105,>=40 +-(4-5 deg) ,,,moderate-high,
16.48156423,77.06495896,Loc-106,,,,moderate-high,
16.48439592,77.06267168,Loc-107,,,,moderate-high,
16.48721432,77.06050642,Loc-108,,,,moderate-high,
16.49008104,77.05818193,Loc-109,,,,moderate-high,
16.49295184,77.055881,Loc-110,,,,moderate-high,
16.49572232,77.05368267,Loc-111,,,,moderate-high,
16.49858343,77.05138846,Loc-112,>=40 +-(4-5 deg) ,,,moderate-high,
16.5014298,77.04914052,Loc-113,,,,moderate-high,
16.50441779,77.04677747,Loc-114,,,,moderate-high,
16.50720018,77.0446424,Loc-115,,,,moderate-high,
16.50998173,77.04250213,Loc-116,,,,moderate-high,
16.51279775,77.04032156,Loc-117,,,,moderate-high,
16.51635351,77.03758932,Loc-118,,,,moderate-high,
16.51971144,77.0349808,Loc-119,,,,moderate-high,
16.52247167,77.0328471,Loc-120,,,,moderate-high,
16.52596837,77.03213339,Loc-121,,,,moderate-high,
16.52948482,77.03136115,Loc-122,,,,moderate-high,
16.53285854,77.03009553,Loc-123,>=40 +-(4-5 deg) ,,,moderate-high,
16.53613494,77.02884939,Loc-124,,,,moderate-high,
16.55619539,77.02123141,Loc-130,>=40 +-(4-5 deg) ,,,moderate-high,
16.57756998,77.0023479,Loc-138,>=40 +-(4-5 deg) ,,,moderate-high,
16.58004391,76.99962623,Loc-139,>=40 +-(4-5 deg) ,,,moderate-high,
16.58246336,76.99684396,Loc-140,>=40 +-(4-5 deg) ,,,moderate-high,
16.60868981,76.96886719,Loc-151,,,,moderate-high,
16.61100083,76.9663633,Loc-152,,,,moderate-high,
16.61340951,76.96374952,Loc-153,,,,moderate-high,
16.61582946,76.96112294,Loc-154,,,,moderate-high,
16.61825997,76.9585136,Loc-155,,,,moderate-high,
16.6208025,76.95573022,Loc-156,,,,moderate-high,
16.62321555,76.95309986,Loc-157,,,,moderate-high,
16.62609994,76.95091044,Loc-158,,,,moderate-high,
16.62901731,76.94872964,Loc-159,,,,moderate-high,
16.63191747,76.94656411,Loc-160,,,,moderate-high,
16.63489581,76.94432659,Loc-161,,,,moderate-high,
16.6376674,76.94227158,Loc-162,,,,moderate-high,
16.67835795,76.90223816,Loc-179,,,low-moderate,,
16.68116668,76.90018989,Loc-180,,,low-moderate,,
16.68400317,76.89813485,Loc-181,,,low-moderate,,
16.68680571,76.8961069,Loc-182,,,low-moderate,,
16.689488,76.89413431,Loc-183,,,low-moderate,,
16.6924492,76.89198326,Loc-184,,,low-moderate,,
16.69472495,76.89032295,Loc-185,,,low-moderate,,
16.69733099,76.88836381,Loc-186,,,low-moderate,,
16.70033054,76.88614902,Loc-187,,,low-moderate,,
16.70326592,76.88392085,Loc-188,,,low-moderate,,
16.7055128,76.8822627,Loc-189,,,low-moderate,,
16.70989348,76.88181672,Loc-190,,,low-moderate,,
16.7133776,76.8814715,Loc-191,,,low-moderate,,
16.80112375,76.80609248,Loc-224,,,,,low-moderate
16.80336956,76.80337607,Loc-225,,,,,low-moderate
16.80556838,76.80061096,Loc-226,,,,,low-moderate
