latitude,longitude,Land Subsidence
16.41677611,77.11656189,low
16.41957195,77.11434165,low
16.42216111,77.11233018,low
16.4248403,77.11013656,low
16.42768113,77.10788889,low
16.43046175,77.10565827,low
16.67835795,76.90223816,low-moderate
16.68116668,76.90018989,low-moderate
16.68400317,76.89813485,low-moderate
16.68680571,76.8961069,low-moderate
16.689488,76.89413431,low-moderate
16.6924492,76.89198326,low-moderate
16.69472495,76.89032295,low-moderate
16.69733099,76.88836381,low-moderate
16.70033054,76.88614902,low-moderate
16.70326592,76.88392085,low-moderate
16.7055128,76.8822627,low-moderate
16.70989348,76.88181672,low-moderate
16.7133776,76.8814715,low-moderate
17.13426504,76.47104264,low-moderate
17.13745358,76.46931368,low-moderate
17.14020647,76.46723251,low-moderate
17.14310319,76.46498422,low-moderate
17.1461136,76.46276368,low-moderate
17.15034649,76.46309541,low-moderate
17.15336937,76.4606493,low-moderate
17.1560814,76.45845616,low-moderate
17.15900806,76.45603892,low-moderate
17.16167311,76.45382587,low-moderate
17.16451757,76.45149125,low-moderate
17.16682083,76.44924875,low-moderate
17.16948292,76.44658266,low-moderate
17.1722446,76.4438138,low-moderate
17.17477835,76.44145418,low-moderate
17.1774014,76.4388586,low-moderate
17.17998834,76.43636659,low-moderate
17.18257283,76.43381243,low-moderate
17.18515639,76.43132772,low-moderate
17.18782151,76.42874019,low-moderate
17.19026527,76.4263386,low-moderate
17.19262196,76.42402108,low-moderate
17.19548751,76.42124667,low-moderate
17.19804636,76.41875709,low-moderate
17.20057174,76.41628794,low-moderate
17.20320855,76.41370108,low-moderate
17.20574871,76.41117479,low-moderate
17.20833142,76.40867862,low-moderate
17.21093924,76.4061624,low-moderate
17.21372154,76.40344627,low-moderate
17.21608703,76.40117139,low-moderate
17.21864572,76.39861155,low-moderate
17.2214256,76.39625202,low-moderate
17.22416659,76.39389499,low-moderate
17.2268812,76.39166983,low-moderate
17.22943832,76.38952841,low-moderate
17.23218057,76.38722631,low-moderate
17.23474872,76.38501989,low-moderate
17.23730472,76.38286281,low-moderate
17.23999624,76.38060551,low-moderate
17.24266689,76.37832372,low-moderate
17.24534867,76.376077,low-moderate
17.24802555,76.37382236,low-moderate
17.25067805,76.37153093,low-moderate
17.25339338,76.36910694,low-moderate
17.25604289,76.36667345,low-moderate
17.25876966,76.36419865,low-moderate
17.26136218,76.36180207,low-moderate
17.26400153,76.35939111,low-moderate
17.26651601,76.35698854,low-moderate
17.2691717,76.35455213,low-moderate
17.27184538,76.35209241,low-moderate
17.27438561,76.34976666,low-moderate
17.27699254,76.34733835,low-moderate
17.27968823,76.344815,low-moderate
17.2823556,76.34249439,low-moderate
17.285061,76.34018108,low-moderate
17.28767604,76.3378633,low-moderate
17.29033572,76.33552549,low-moderate
17.2930131,76.33317302,low-moderate
17.2956795,76.33080696,low-moderate
17.29834557,76.32848995,low-moderate
17.30105434,76.32608616,low-moderate
17.3037123,76.32378203,low-moderate
17.30643004,76.32141279,low-moderate
17.30914274,76.31924809,low-moderate
17.31145566,76.31743514,low-moderate
17.31427938,76.31523808,low-moderate
17.31700741,76.31310872,low-moderate
17.31971726,76.31097696,low-moderate
17.32246719,76.30877296,low-moderate
17.32527785,76.30652949,low-moderate
